-1;-1
4;9
1;16
1;16
4;7
1;9
1;9
7;7
13;14
13;14
5;11
17;2
17;2
4;13
8;16
8;16
3;11
6;6
6;6
3;8
8;13
8;13
3;5
18;6
18;6
6;8
10;15
10;15
6;7
8;14
8;14
6;5
5;6
5;9
10;10
18;5
18;5
9;7
10;0
10;0
9;5
9;3
11;10
11;10
3;5
3;3
5;10
5;10
-1;-1
1;8
11;13
11;13
2;7
11;12
11;12
1;3
12;0
12;0
1;3
3;2
11;0
11;0
-1;-1
2;8
9;7
9;7
-1;-1
3;8
3;10
-1;-1
4;8
8;2
8;2
1;10
17;9
17;9
6;12
8;9
8;9
7;11
13;15
13;15
2;10
5;0
5;0
3;7
10;2
10;2
-1;-1
3;11
1;18
1;18
6;10
14;1
14;1
-1;-1
3;11
16;14
16;14
6;12
5;0
5;0
8;8
16;1
16;1
2;7
14;12
14;12
5;10
6;1
6;1
1;12
11;1
11;1
2;13
8;9
8;9
4;8
15;17
15;17
5;7
12;12
12;12
9;4
14;18
14;18
-1;-1
-1;-1
4;10
14;1
14;1
1;13
6;2
6;2
3;11
18;4
18;4
1;10
17;14
17;14
2;7
3;16
3;16
3;6
0;8
0;8
4;9
0;15
0;15
1;9
5;16
5;16
5;8
14;2
14;2
5;8
5;7
4;0
4;0
9;10
2;14
2;14
9;10
9;11
7;2
7;2
9;11
8;9
12;4
12;4
8;9
8;4
7;16
7;16
8;4
8;2
2;3
2;3
5;2
2;9
2;9
6;7
1;3
1;3
-1;-1
3;11
5;7
5;7
5;10
7;9
7;9
-1;-1
5;8
7;15
7;15
7;8
18;16
18;16
8;7
10;1
10;1
11;11
2;16
2;16
6;10
5;4
5;4
4;10
17;11
17;11
4;10
3;4
3;3
3;3
4;4
0;5
0;5
6;4
9;1
9;1
8;5
15;14
15;14
8;1
15;10
15;10
11;1
1;12
1;12
10;4
13;16
13;16
10;7
12;1
12;1
10;9
14;6
14;6
-1;-1
3;9
11;4
11;4
3;7
12;6
12;6
5;8
6;9
18;17
18;17
3;12
6;6
6;6
4;13
14;9
14;9
5;13
1;4
1;4
6;11
14;7
14;7
6;12
11;17
11;17
7;12
7;5
7;5
8;12
13;1
13;1
10;12
10;17
10;17
10;13
8;4
8;4
13;11
14;10
14;10
13;10
16;13
16;13
16;7
4;8
4;8
16;6
15;6
15;6
16;3
3;14
3;14
16;2
2;9
2;9
14;3
15;0
15;0
13;3
6;14
6;14
9;3
5;17
5;17
8;3
4;6
4;6
3;2
14;12
14;12
3;1
12;14
12;14
1;5
12;7
12;7
1;6
18;4
18;4
1;11
10;16
10;16
1;10
14;13
14;13
17;10
15;11
15;11
17;10
17;9
4;16
4;16
12;8
17;5
17;5
12;9
17;6
17;6
12;5
18;8
18;8
13;6
15;15
15;15
14;8
1;2
1;2
14;11
5;2
5;2
6;2
15;17
15;17
7;2
5;6
5;6
1;1
16;1
16;1
1;14
12;15
12;15
1;13
2;5
2;5
6;17
17;18
17;18
7;17
11;7
11;7
8;15
12;2
12;2
10;15
5;0
5;0
6;15
13;9
13;9
5;15
7;16
7;16
4;17
10;18
10;18
3;17
10;6
10;6
2;15
13;13
13;13
2;14
2;12
2;12
12;17
16;10
16;10
-1;-1
